scenario_id,t,firm_id,Y_new,psi_eff,theta,queue_len,congestion_idx,mean_latency,p95_latency,max_latency,std_latency,triage_eff,omega_spill,market_share,y_growth_pct,creativity_loss,ROI_skill,Y_lost_decay,sgna_cost
ecb-moat-duopoly,0,0,4.030094983618331,0.19703399072038225,0.004682660237829406,0,1.15,,,,,,0.0,0.19355485896367308,0.0,,,0.0,0.0
ecb-moat-duopoly,0,1,4.030094983618331,0.19703399072038225,0.004682660237829406,0,1.15,,,,,,0.0,0.19355485896367308,0.0,,,0.0,0.0
ecb-moat-duopoly,1,0,3.840128302787333,0.18706765891325366,0.004530671661833516,0,1.094329557279609,,,,,,0.0,0.1923983856286886,-0.04713702322232627,,,0.0,0.0
ecb-moat-duopoly,1,1,3.840128302787333,0.18706765891325366,0.004530671661833516,1,1.094329557279609,,,,,1.0,0.0,0.1923983856286886,0.0,,,0.0,0.0
ecb-moat-duopoly,2,0,3.666374679367819,0.17799986511357405,0.004372987221076191,1,1.0410915318815464,,,,,1.0,0.0,0.19127602305197855,-0.045246827636825526,,,0.0,0.0
ecb-moat-duopoly,2,1,3.666374679367819,0.17799986511357405,0.004372987221076191,1,1.0410915318815464,,,,,,0.0,0.19127602305197855,0.0,,,0.0,0.0
ecb-moat-duopoly,3,0,3.5072955114563755,0.16973871109910696,0.00421170271128344,2,0.9902190320405133,,,,,1.0,0.0,0.1901894071018914,-0.04338868277883512,,,0.0,0.0
ecb-moat-duopoly,3,1,3.5072955114563755,0.16973871109910696,0.00421170271128344,1,0.9902190320405133,,,,,,0.0,0.1901894071018914,0.0,,,0.0,0.0
ecb-moat-duopoly,4,0,3.361500151543537,0.16220219916495676,0.004048579334000007,3,0.941640374856147,,,,,1.0,0.0,0.18913964865986163,-0.041569169018295216,,,0.0,0.0
ecb-moat-duopoly,4,1,3.361500151543537,0.16220219916495676,0.004048579334000007,2,0.941640374856147,,,,,0.5,0.0,0.18913964865986163,0.0,,,0.0,0.0
ecb-moat-duopoly,5,0,3.2277343842778197,0.1553172453610712,0.00388508801463093,2,0.8952805319844334,3.0,3.0,3.0,0.0,,0.0,0.18812741542345118,-0.0397934735193437,,,0.0,0.0
ecb-moat-duopoly,5,1,3.2277343842778197,0.1553172453610712,0.00388508801463093,3,0.8952805319844334,,,,,1.0,0.0,0.18812741542345118,0.0,,,0.0,0.0
ecb-moat-duopoly,6,0,3.1048687567024404,0.14901874861904654,0.0037224485491663835,2,0.8510623242784858,3.0,3.0,3.0,0.0,1.0,0.0,0.18715300342631294,-0.038065594298543726,,,0.0,0.0
ecb-moat-duopoly,6,1,3.1048687567024404,0.14901874861904654,0.0037224485491663835,3,0.8510623242784858,,,,,,0.0,0.18715300342631294,0.0,,,0.0,0.0
ecb-moat-duopoly,7,0,2.9918871808555356,0.14324872878689948,0.003561664038804047,3,0.8089074035745927,,,,,1.0,0.0,0.18621639924998531,-0.03638851903257201,,,0.0,0.0
ecb-moat-duopoly,7,1,2.9918871808555356,0.14324872878689948,0.003561664038804047,4,0.8089074035745927,,,,,0.5,0.0,0.18621639924998531,0.0,,,0.0,0.0
ecb-moat-duopoly,8,0,2.8878760755116817,0.13795553922198586,0.003403551077524753,2,0.7687370546895624,4.0,4.0,4.0,0.0,,0.0,0.18531733389567243,-0.03476438082605504,,,0.0,0.0
ecb-moat-duopoly,8,1,2.8878760755116817,0.13795553922198586,0.003403551077524753,5,0.7687370546895624,,,,,1.0,0.0,0.18531733389567243,0.0,,,0.0,0.0
ecb-moat-duopoly,9,0,2.7920142037789906,0.13309315470596397,0.003248766143316919,3,0.7304728460395471,,,,,0.5,0.0,0.18445532924422683,-0.03319459326720109,,,0.0,0.0
ecb-moat-duopoly,9,1,2.7920142037789906,0.13309315470596397,0.003248766143316919,5,0.7304728460395471,,,,,,0.0,0.18445532924422683,0.0,,,0.0,0.0
ecb-moat-duopoly,10,0,2.703563285742909,0.1286205323346042,0.003097828617373551,3,0.6940371531496417,,,,,,0.0,0.18362973797273327,-0.03167996707049825,,,0.0,0.0
ecb-moat-duopoly,10,1,2.703563285742909,0.1286205323346042,0.003097828617373551,6,0.6940371531496417,,,,,1.0,0.0,0.18362973797273327,0.0,,,0.0,0.0
ecb-moat-duopoly,11,0,2.6218594120383183,0.12450104117139732,0.0029511408228129654,4,0.6593535756943597,,,,,0.5,0.0,0.18283977772574142,-0.030220810489420158,,,0.0,0.0
ecb-moat-duopoly,11,1,2.6218594120383183,0.12450104117139732,0.0029511408228129654,5,0.6593535756943597,10.0,10.0,10.0,0.0,,0.0,0.18283977772574142,0.0,,,0.0,0.0
ecb-moat-duopoly,12,0,2.5463052486786184,0.12070195544962568,0.0028090054390464626,4,0.6263472655627382,,,,,,0.0,0.18208456026474878,-0.028817015516847122,,,0.0,0.0
ecb-moat-duopoly,12,1,2.5463052486786184,0.12070195544962568,0.0028090054390464626,6,0.6263472655627382,,,,,1.0,0.0,0.18208456026474878,0.0,,,0.0,0.0
ecb-moat-duopoly,13,0,2.476363000750684,0.11719400568223802,0.002671640612259388,5,0.5949451807361599,,,,,1.0,0.0,0.18136311624523715,-0.02746813170346729,,,0.0,0.0
ecb-moat-duopoly,13,1,2.476363000750684,0.11719400568223802,0.002671640612259388,7,0.5949451807361599,,,,,0.5,0.0,0.18136311624523715,0.0,,,0.0,0.0
ecb-moat-duopoly,14,0,2.411548088998907,0.11395098199235477,0.0025391930480916924,4,0.5650762774545142,8.0,8.0,8.0,0.0,,0.0,0.18067441619915944,-0.02617342923154997,,,0.0,0.0
