scenario_id,t,firm_id,Y_new,psi_eff,theta,queue_len,congestion_idx,mean_latency,p95_latency,max_latency,std_latency,triage_eff,omega_spill,market_share
idea-latency-high-decay,0,0,4.030094983618331,0.19703399072038225,0.004682660237829406,0,1.15,,,,,,0.0,1.0
idea-latency-high-decay,1,0,3.840128302787333,0.18706765891325366,0.004530671661833516,0,1.094329557279609,,,,,,0.0,1.0
idea-latency-high-decay,2,0,3.666374679367819,0.17799986511357405,0.004372987221076191,0,1.0410915318815464,,,,,,0.0,1.0
idea-latency-high-decay,3,0,3.5072955114563755,0.16973871109910696,0.00421170271128344,1,0.9902190320405133,,,,,1.0,0.0,1.0
idea-latency-high-decay,4,0,3.361500151543537,0.16220219916495676,0.004048579334000007,2,0.941640374856147,,,,,0.5,0.0,1.0
idea-latency-high-decay,5,0,3.2277343842778197,0.1553172453610712,0.00388508801463093,3,0.8952805319844334,,,,,1.0,0.0,1.0
idea-latency-high-decay,6,0,3.1048687567024404,0.14901874861904654,0.0037224485491663835,4,0.8510623242784858,,,,,1.0,0.0,1.0
idea-latency-high-decay,7,0,2.9918871808555356,0.14324872878689948,0.003561664038804047,4,0.8089074035745927,4.0,4.0,4.0,0.0,1.0,0.0,1.0
idea-latency-high-decay,8,0,2.8878760755116817,0.13795553922198586,0.003403551077524753,6,0.7687370546895624,,,,,0.6666666666666666,0.0,1.0
idea-latency-high-decay,9,0,2.7920142037789906,0.13309315470596397,0.003248766143316919,7,0.7304728460395471,,,,,0.5,0.0,1.0
idea-latency-high-decay,10,0,2.703563285742909,0.1286205323346042,0.003097828617373551,7,0.6940371531496417,,,,,,0.0,1.0
idea-latency-high-decay,11,0,2.6218594120383183,0.12450104117139732,0.0029511408228129654,7,0.6593535756943597,,,,,,0.0,1.0
idea-latency-high-decay,12,0,2.5463052486786184,0.12070195544962568,0.0028090054390464626,7,0.6263472655627382,8.0,8.0,8.0,0.0,1.0,0.0,1.0
idea-latency-high-decay,13,0,2.476363000750684,0.11719400568223802,0.002671640612259388,8,0.5949451807361599,,,,,1.0,0.0,1.0
idea-latency-high-decay,14,0,2.411548088998907,0.11395098199235477,0.0025391930480916924,9,0.5650762774545142,,,,,1.0,0.0,1.0
idea-latency-high-decay,15,0,2.3514234861246632,0.11094938416863384,0.002411749340372152,11,0.5366716511789764,,,,,0.6666666666666666,0.0,1.0
idea-latency-high-decay,16,0,2.2955946568060623,0.1081681132814723,0.002289345760124662,12,0.50966463519174,,,,,1.0,0.0,1.0
idea-latency-high-decay,17,0,2.243705045537547,0.10558820010167069,0.0021719767021930684,14,0.4839908642625253,,,,,0.6666666666666666,0.0,1.0
idea-latency-high-decay,18,0,2.195432058353706,0.10319256599850656,0.0020596019627126838,15,0.45958830962109076,,,,,1.0,0.0,1.0
idea-latency-high-decay,19,0,2.150483487597532,0.10096581243055709,0.0019521529991743908,15,0.4363972904713016,,,,,,0.0,1.0
idea-latency-high-decay,20,0,2.10859433260532,0.09889403556234369,0.0018495383058011103,15,0.414360466436975,,,,,,0.0,1.0
idea-latency-high-decay,21,0,2.06952397315686,0.09696466293267789,0.0017516480201790877,16,0.3934228146181186,16.0,16.0,16.0,0.0,0.6666666666666666,0.0,1.0
